CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_France,Geography_Spain,Geography_Germany,Gender_Female,Gender_Male
387,88,7,835453,1,0,1,2120905,1,0,0,0,1
726,53,9,692717,1,1,0,674278,0,0,1,0,1
506,81,10,125567,1,1,1,931380,0,0,1,1,0
959,88,17,190913,2,0,0,1660084,0,1,0,1,0
279,57,8,271162,2,1,1,74506,1,0,0,1,0
790,19,18,462583,1,0,1,1237727,1,0,0,1,0
599,40,14,507728,2,0,1,2983362,0,1,0,0,1
440,61,16,469294,4,0,0,1393945,0,1,0,1,0
315,75,9,775741,5,1,1,2887999,0,1,0,1,0
758,19,9,573907,2,1,0,1639536,1,0,0,1,0
543,83,5,92400,2,1,0,1956590,0,1,0,1,0
657,46,9,332971,4,0,1,2994116,1,0,0,1,0
738,79,5,115383,1,0,0,1513591,0,0,1,0,1
740,46,14,53096,1,0,0,2831811,1,0,0,1,0
955,33,2,450285,4,1,0,2172879,1,0,0,0,1
466,77,11,762801,6,0,0,2294687,1,0,0,0,1
834,70,20,682218,5,1,0,2756643,0,0,1,0,1
589,70,14,824342,5,0,0,631214,1,0,0,0,1
318,32,6,118574,2,1,0,2094792,1,0,0,0,1
305,31,13,640622,3,1,0,2902869,0,0,1,1,0
360,83,9,443472,4,0,1,436261,1,0,0,0,1
776,57,3,595992,2,0,0,2101135,1,0,0,0,1
585,42,20,740775,2,0,0,1858093,1,0,0,1,0
207,68,6,871029,3,1,1,2719460,0,0,1,0,1
491,38,7,240881,6,0,1,1036945,0,0,1,1,0
714,78,8,674204,4,1,1,1210257,0,0,1,1,0
285,18,10,404785,4,0,1,472679,1,0,0,0,1
869,71,4,859918,1,1,1,1591180,0,1,0,0,1
789,55,12,335250,6,1,1,1116668,1,0,0,1,0
332,36,10,318360,5,1,1,255997,0,1,0,0,1
719,76,18,493226,4,1,0,566183,0,0,1,0,1
938,81,11,347778,5,1,1,2947679,0,0,1,0,1
713,84,5,916847,2,0,0,2201016,1,0,0,1,0
491,86,20,120191,3,0,0,2780129,0,1,0,1,0
857,73,15,921901,1,0,1,224833,0,0,1,0,1
348,30,5,493520,2,1,0,728640,0,1,0,1,0
625,38,15,830733,5,0,0,2525422,0,1,0,0,1
474,92,4,196800,6,1,0,2280929,0,0,1,1,0
981,64,0,749209,5,1,0,1272783,0,1,0,0,1
743,19,4,492767,2,0,1,928202,0,0,1,1,0
576,45,19,43598,6,1,0,1171944,0,0,1,0,1
755,63,0,988991,1,0,0,1885093,1,0,0,1,0
637,84,4,659509,5,0,1,760651,0,0,1,1,0
581,64,3,897487,1,1,0,362688,1,0,0,0,1
547,52,9,228783,4,0,0,451400,0,0,1,0,1
513,38,6,69363,2,0,0,961825,1,0,0,1,0
853,52,7,344177,4,1,0,421182,0,1,0,1,0
926,43,7,783515,4,0,1,1958530,0,1,0,0,1
856,68,18,978866,5,0,0,45651,1,0,0,0,1
531,49,14,307851,2,0,0,2990266,0,0,1,1,0
637,74,8,232747,6,1,0,79498,0,1,0,0,1
390,82,10,202338,2,1,0,1840475,0,0,1,0,1
702,40,20,357134,6,0,1,456991,0,0,1,1,0
365,99,12,718228,1,1,1,1499414,1,0,0,1,0
465,28,18,191497,2,0,0,1170496,0,1,0,1,0
691,26,5,883449,3,0,1,2501712,0,1,0,0,1
384,38,10,54928,2,0,0,836493,0,1,0,1,0
732,47,8,295266,6,1,1,2200310,1,0,0,0,1
